"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL96442";"";"None";"687.84";"2";"6.27";"13";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccccn4)CC3)(c3ccccc3)C2)cc(OC)c1OC";"IC50";"'='";"6.44";"nM";"8.19";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.44"
"CHEMBL605405";"";"None";"302.42";"0";"4.57";"(Z)-3(2)";"Cc1ccc2c(c1)c1c(n2/C=C\c2ccccc2)CCN(C)C1";"IC50";"'='";"154.0";"nM";"6.81";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038011";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as reduction of histamine-induced intracellular calcium spike at phase 2 treated 20 to 30 seconds after histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.154"
"CHEMBL317524";"";"None";"844.96";"2";"6.75";"1d";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc4c(c3)OCO4)C2)cc(OC)c1OC.CS(=O)(=O)O";"IC50";"'='";"204.0";"nM";"6.69";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL691452";"Antagonism of the human histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150559";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"204.0"
"CHEMBL310183";"";"None";"330.82";"0";"4.26";"1, R-95292";"CN(C)CC1CC2c3ccccc3Oc3ccc(Cl)cc3N2O1";"IC50";"'='";"102.33";"nM";"6.99";"";"";"UO_0000065";"21.13";"0.42";"2.73";"28.03";"0";"CHEMBL857171";"Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135380";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"6.99"
"CHEMBL320002";"";"None";"748.85";"2";"6.75";"16";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc4c(c3)OCO4)C2)cc(OC)c1OC";"IC50";"'='";"6.69";"nM";"8.18";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.69"
"CHEMBL82635";"";"None";"308.43";"0";"3.71";"3r";"Cc1cccc2c1Cc1ccccc1C1CC(CN(C)C)ON21";"IC50";"'='";"6.026";"nM";"8.22";"";"";"UO_0000065";"26.65";"0.49";"4.51";"52.32";"0";"CHEMBL697643";"Binding affinity at human cloned Histamine H1 receptor expressed in CHO cells by [3H]pyrilamine displacement.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135381";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"8.22"
"CHEMBL561377";"";"None";"549.70";"1";"3.62";"6b";"CN(CCCN1CCC(CN2c3ccccc3Sc3ccc(C(=O)O)cc32)CC1)c1cc(=O)n(C)c(=O)n1C";"IC50";"'='";"53.0";"nM";"7.28";"";"";"UO_0000065";"13.24";"0.25";"3.66";"7.99";"0";"CHEMBL1059633";"Displacement of [3H]pyrilamine from human recombinant histamine H1 receptor expressed in CHOK1 cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152910";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307512";"";"";"";"53.0"
"CHEMBL562792";"";"None";"547.68";"1";"3.39";"35";"Cn1c(N2CCCN(CCCN3c4ccccc4Sc4ccc(/C=C\C(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"323.0";"nM";"6.49";"";"";"UO_0000065";"11.85";"0.23";"3.10";"7.13";"0";"CHEMBL1059633";"Displacement of [3H]pyrilamine from human recombinant histamine H1 receptor expressed in CHOK1 cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152910";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307512";"";"";"";"323.0"
"CHEMBL559664";"";"None";"521.64";"1";"2.53";"1";"Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"14.18";"0.27";"4.87";"8.13";"1";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"40.0"
"CHEMBL91397";"RUPATADINE";"4.0";"415.97";"1";"5.63";"75 (Rupatidine, UR-12592)";"Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1";"IC50";"'='";"3.9";"nM";"8.41";"";"";"UO_0000065";"20.22";"0.38";"2.78";"28.98";"0";"CHEMBL882906";"Inhibitory concentration against histamine H1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140446";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"0.0039"
"CHEMBL287052";"";"None";"221.69";"0";"2.23";"17a";"NCCc1c[nH]c(-c2cccc(Cl)c2)n1";"IC50";"'='";"1995.26";"nM";"5.70";"";"";"UO_0000065";"25.71";"0.52";"3.47";"10.42";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-5.7"
"CHEMBL315308";"";"None";"370.50";"1";"5.07";"3u";"CN(C)CC1CC2c3ccccc3Cc3ccc(-c4ccccc4)cc3N2O1";"IC50";"'='";"7.943";"nM";"8.10";"";"";"UO_0000065";"21.86";"0.40";"3.03";"51.56";"0";"CHEMBL697643";"Binding affinity at human cloned Histamine H1 receptor expressed in CHO cells by [3H]pyrilamine displacement.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135381";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"8.1"
"CHEMBL30008";"FLUNARIZINE";"2.0";"404.50";"1";"5.39";"FLUNARIZINE";"Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1";"IC50";"'='";"158.0";"nM";"6.80";"";"";"UO_0000065";"16.81";"0.31";"1.41";"104.96";"0";"CHEMBL1909156";"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";"";"";"";"0.158"
"CHEMBL322194";"";"None";"668.84";"2";"5.87";"1s";"CCOCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21";"IC50";"'='";"381.0";"nM";"6.42";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL691452";"Antagonism of the human histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150559";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"381.0"
"CHEMBL313189";"";"None";"308.43";"0";"3.79";"2b";"CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1";"IC50";"'='";"83.18";"nM";"7.08";"";"";"UO_0000065";"22.95";"0.42";"3.29";"45.07";"0";"CHEMBL857171";"Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135380";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"7.08"
"CHEMBL589390";"LATREPIRDINE";"3.0";"319.45";"0";"3.88";"Dimebolin";"Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1";"IC50";"'='";"158.0";"nM";"6.80";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL1038010";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as histamine-induced maximum intracellular calcium spike at phase 1 treated 10 to 15 seconds before histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.158"
"CHEMBL592752";"MARITUPIRDINE";"2.0";"304.44";"0";"4.18";"4(2)";"Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1";"IC50";"'='";"146.0";"nM";"6.84";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038011";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as reduction of histamine-induced intracellular calcium spike at phase 2 treated 20 to 30 seconds after histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.146"
"CHEMBL603049";"";"None";"322.43";"0";"4.32";"4(8)";"Cc1ccc(CCn2c3c(c4cc(F)ccc42)CN(C)CC3)cc1";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038010";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as histamine-induced maximum intracellular calcium spike at phase 1 treated 10 to 15 seconds before histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.031"
"CHEMBL591568";"";"None";"290.41";"0";"3.97";"(E)-3(1)";"CN1CCC2C(C1)c1ccccc1N2/C=C/c1ccccc1";"IC50";"'='";"2130.0";"nM";"5.67";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038011";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as reduction of histamine-induced intracellular calcium spike at phase 2 treated 20 to 30 seconds after histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"2.13"
"CHEMBL79249";"";"None";"336.44";"0";"3.17";"2n";"c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCOCC3)CC21";"IC50";"'='";"26.3";"nM";"7.58";"";"";"UO_0000065";"22.53";"0.41";"4.41";"30.39";"0";"CHEMBL857171";"Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135380";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"7.58"
"CHEMBL359122";"";"None";"234.39";"0";"3.70";"13f";"NCCCCCCCCCCc1ccncc1";"IC50";"'='";"2511.89";"nM";"5.60";"";"";"UO_0000065";"23.89";"0.45";"1.90";"14.39";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-5.6"
"CHEMBL95029";"";"None";"802.97";"3";"7.48";"25";"COC(=O)c1ccccc1OCCCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.0"
"CHEMBL182150";"";"None";"425.48";"0";"4.13";"ATC-0175";"CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"16.04";"0.30";"2.69";"9.73";"0";"CHEMBL1037062";"Displacement of [3H]pyrilamine from human histamine H1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156067";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"0.15"
"CHEMBL577912";"";"None";"387.92";"0";"3.66";"4m";"Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(Cl)cc3)CC2)nc1N(C)C";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"15.77";"0.31";"2.46";"8.72";"0";"CHEMBL1037062";"Displacement of [3H]pyrilamine from human histamine H1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156067";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"0.76"
"CHEMBL5421982";"";"None";"530.63";"1";"2.98";"52; GLPG2737";"COC1CCN(c2cc(C(=O)NS(=O)(=O)N(C)C)nc3c2c(C2CCC2)nn3-c2ccc(F)cc2)CC1";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"9.61";"0.19";"2.12";"4.65";"0";"CHEMBL5338203";"Inhibition of human H1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5335845";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"INHIBITOR";"";"8.0"
"CHEMBL549598";"";"None";"434.60";"1";"5.70";"9e";"CN(CC1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1";"IC50";"'='";"4.4";"nM";"8.36";"";"";"UO_0000065";"19.23";"0.36";"2.66";"34.39";"0";"CHEMBL1060927";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO Flp-In cells by liquid scintillation assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154013";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3308072";"";"";"";"4.4"
"CHEMBL591803";"";"None";"376.40";"1";"5.03";"4(10)";"CN1CCc2c(c3cc(F)ccc3n2CCc2ccc(C(F)(F)F)cc2)C1";"IC50";"'='";"35.0";"nM";"7.46";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038010";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as histamine-induced maximum intracellular calcium spike at phase 1 treated 10 to 15 seconds before histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.035"
"CHEMBL1241";"TRIPELENNAMINE";"4.0";"255.37";"0";"2.65";"Tripelennamine";"CN(C)CCN(Cc1ccccc1)c1ccccn1";"IC50";"'='";"39.81";"nM";"7.40";"";"";"UO_0000065";"28.98";"0.53";"4.75";"38.20";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-7.4"
